timestamp,open,high,low,close,volume(btc),volume(currency),weightedprice
1642118400,42579.440000000000,42621.250000000000,42573.050000000000,42621.220000000000,0.075603150000,3219.670601136000,42586.461028885701
1642118460,42622.960000000000,42623.250000000000,42578.180000000000,42578.180000000000,0.529889950000,22583.433282416700,42619.100970714201
1642118520,42553.190000000000,42553.190000000000,42458.610000000000,42458.610000000000,2.471119950000,105014.489110250100,42496.718587153205
1642118580,42440.660000000000,42483.060000000000,42398.990000000000,42398.990000000000,6.097256250000,258859.523631363200,42455.083568344892
1642118640,42441.970000000000,42441.970000000000,42388.880000000000,42429.410000000000,0.617037600000,26157.315026108700,42391.768388358668
1642118700,42433.140000000000,42457.210000000000,42425.630000000000,42448.610000000000,0.967465220000,41046.453823478200,42426.800441961314
1642118760,42474.720000000000,42484.310000000000,42474.720000000000,42484.310000000000,0.009450000000,401.402177000000,42476.420846560847
1642118820,42471.290000000000,42498.420000000000,42454.230000000000,42498.420000000000,0.023771300000,1009.548645999000,42469.223222920075
1642118880,42513.900000000000,42560.730000000000,42491.800000000000,42549.510000000000,0.822517220000,34951.585611253500,42493.439360763171
1642118940,42544.870000000000,42587.420000000000,42544.870000000000,42573.820000000000,0.131213120000,5584.583825730400,42561.169384055497
1642119000,42635.950000000000,42647.350000000000,42606.540000000000,42625.610000000000,0.246380520000,10505.392680522000,42638.893206824956
1642119060,42634.780000000000,42634.780000000000,42604.320000000000,42623.750000000000,0.095730060000,4080.365892701200,42623.663796943197
1642119120,42622.650000000000,42623.750000000000,42539.260000000000,42539.260000000000,3.478943830000,148011.824638080900,42545.045815839142
1642119180,42573.950000000000,42594.920000000000,42524.500000000000,42594.920000000000,0.278726990000,11860.455569796500,42552.232095630568
1642119240,42642.790000000000,42693.960000000000,42642.790000000000,42690.230000000000,0.054380710000,2321.344925047100,42686.918303330353
1642119300,42693.970000000000,42748.770000000000,42681.640000000000,42748.770000000000,2.723770020000,116356.656642357100,42718.972522635042
1642119360,42741.970000000000,42749.350000000000,42715.500000000000,42715.500000000000,0.395229840000,16890.129680362400,42734.955640906061
1642119420,42745.200000000000,42754.590000000000,42713.490000000000,42717.490000000000,0.210070720000,8974.479729343000,42721.230875692719
1642119480,42742.970000000000,42763.180000000000,42741.450000000000,42747.870000000000,0.020530000000,877.616079743500,42747.982452191915
